"File"	"Plate_Type"	"Position"	"Setup_Time"	"Well"	"mu"	"lambda"	"A"	"AUC"	"mu_CI95_low"	"lambda_CI95_low"	"A_CI95_low"	"AUC_CI95_low"	"mu_CI95_high"	"lambda_CI95_high"	"A_CI95_high"	"AUC_CI95_high"	"Aggr_software"	"Aggr_version"	"Aggr_method"	"Discretized"	"Disc_software"	"Disc_version"	"Disc_method"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"D12"	8.97698833461887	-0.490402188245542	45.2705460172232	3820.51487881562	0.208598295004986	64.5918812300043	44.5934370335938	3784.09017462526	33.8345546925341	117.640305076955	50.5896356562136	3844.62334168388	"opm"	"1.3.51"	"grofit"	FALSE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"E01"	26.5886206920204	0.509174017633355	289.32657346602	24768.4600956488	24.8013605450568	0.635321150167712	288.442779360963	24547.3867517347	29.7437469277251	2.45056052674964	290.832431735549	24868.3384304471	"opm"	"1.3.51"	"grofit"	TRUE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"E02"	2.2143643664818	2.70381449306758	39.4977926131344	3281.03367841397	1.26596179997353	17.5074036264903	39.5378676168747	3236.58367065625	11.61179825036	119.504948728476	41.666411893529	3310.63812712736	"opm"	"1.3.51"	"grofit"	FALSE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"E03"	11.3802853281216	0.816135679486233	40.5892182022718	3582.21672974311	8.82504238480582	-29.7172089673059	40.5620991489749	3553.5603966914	18.3451145237648	36.8240827465412	42.0548257944102	3600.38653742611	"opm"	"1.3.51"	"grofit"	FALSE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"E04"	4.42956439959552	-0.133760831086639	31.7001382353965	2782.30256888768	-3.3382825880519	52.6999813078844	31.5617666384281	2754.05894327443	29.874452419875	123.229842080764	36.1347727184617	2795.2710198103	"opm"	"1.3.51"	"grofit"	FALSE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"E05"	23.31862872958	1.35867688882959	293.878102637577	25381.1580183775	22.7478715740482	2.81895483566386	293.705398603264	25200.8990700915	25.8240063063751	8.11744570798607	295.594327375257	25470.724327339	"opm"	"1.3.51"	"grofit"	TRUE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"E06"	13.7361231516756	1.12796582653121	55.457782076017	4662.19296950593	11.7759969177549	-35.3594004054129	53.7001394012759	4625.89795584592	20.1915709026675	45.6503184483767	58.7163398481813	4678.39923498752	"opm"	"1.3.51"	"grofit"	FALSE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"E07"	7.28277265952632	0.853400677296587	178.751002762976	10861.5427745619	3.3256006721723	-31.4644831328425	174.712775781784	10742.8270583551	19.7461771502277	135.176981577073	183.626884132051	10923.3096484941	"opm"	"1.3.51"	"grofit"	NA	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"E08"	7.82307113443109	0.515163700258413	34.5112043690003	2902.58031814661	6.57197904183766	-38.367248978241	33.2973158216406	2875.87171076107	17.2396263565097	144.20260154751	38.8117577312775	2914.44169865186	"opm"	"1.3.51"	"grofit"	FALSE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"E09"	3.9256353811389	-1.49992778859357	33.7197863975198	2847.9442827959	4.31884948313026	59.4785262245037	34.8544533873895	2811.64838616872	21.2738962762085	116.396432502935	41.6908338737935	2872.16426114566	"opm"	"1.3.51"	"grofit"	FALSE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"E10"	9.8521040004117	0.557225466762507	37.9963258346794	3121.41685959598	4.4138634836369	-47.077236275963	35.7647227709084	3088.41207832454	23.6367753952363	137.469578967696	42.064139358522	3138.28386915166	"opm"	"1.3.51"	"grofit"	FALSE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"E11"	5.1064355195584	0.32635503934905	39.1463551435134	3241.63195331116	1.68501659866936	37.0775598972995	39.2690843951399	3192.69259002943	25.8732780372183	125.439748554914	47.6947086933121	3275.49539763532	"opm"	"1.3.51"	"grofit"	FALSE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"E12"	5.90868462686697	-1.69653226978628	50.8613933936825	4350.39367600622	3.03068684457141	39.7746162308964	52.1220196165012	4297.43145290246	27.8282641243716	124.416673965011	61.1924236786833	4382.62935751476	"opm"	"1.3.51"	"grofit"	FALSE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"F01"	11.6224922050348	-0.334116551593248	60.1245759921648	5412.06784890105	10.8196290774387	0.921188097780879	60.1846351908445	5372.01738275584	15.7446638238422	1.68176766484892	63.0208394837734	5429.28616745115	"opm"	"1.3.51"	"grofit"	FALSE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"F02"	29.2994793159559	0.652997866170308	248.31208909409	21966.9048925429	24.9952106473705	-0.255028191414053	247.991830846834	21816.016656963	33.8221973070879	2.56231898546085	249.858718125072	22045.8960895393	"opm"	"1.3.51"	"grofit"	TRUE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"F03"	9.89362970769795	0.586193430396743	41.2705647489874	3649.73335713528	8.62506808224016	-52.5091658821268	41.4842023544741	3625.08451758598	16.8476409439551	80.1705215135439	42.9510568932902	3664.29410248851	"opm"	"1.3.51"	"grofit"	FALSE	"opm"	"1.3.51"	"kmeans"
